Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.230,3106.958,5.803,1006,0.619
LearningBrain,0.227,3113.736,5.900,1018,0.620
LearningBrain,0.229,3120.384,5.781,1002,0.621
LearningBrain,0.228,3127.034,5.778,1002,0.621
LearningBrain,0.228,3133.680,5.775,1002,0.622
LearningBrain,0.228,3140.386,5.832,1005,0.623
LearningBrain,0.230,3147.248,5.859,1017,0.623
LearningBrain,0.229,3153.921,5.800,1009,0.624
LearningBrain,0.230,3160.635,5.837,1008,0.624
LearningBrain,0.228,3167.340,5.827,1015,0.625
LearningBrain,0.230,3173.980,5.771,1006,0.625
LearningBrain,0.227,3180.814,5.949,1024,0.626
LearningBrain,0.227,3187.620,5.923,1016,0.627
LearningBrain,0.227,3194.289,5.796,1001,0.627
LearningBrain,0.229,3200.912,5.757,1006,0.628
LearningBrain,0.229,3207.511,5.733,1001,0.628
LearningBrain,0.227,3214.135,5.760,1002,0.629
LearningBrain,0.229,3220.912,5.892,1001,0.630
LearningBrain,0.226,3227.549,5.773,1002,0.630
LearningBrain,0.227,3234.329,5.900,1013,0.631
LearningBrain,0.227,3241.101,5.892,1013,0.632
LearningBrain,0.229,3247.843,5.862,1006,0.632
LearningBrain,0.229,3254.481,5.767,1006,0.633
LearningBrain,0.227,3261.116,5.771,1007,0.634
LearningBrain,0.228,3267.840,5.854,1007,0.634
LearningBrain,0.227,3274.513,5.800,1008,0.635
LearningBrain,0.228,3281.196,5.801,1005,0.636
LearningBrain,0.227,3287.855,5.787,1015,0.636
LearningBrain,0.231,3294.546,5.816,1004,0.637
LearningBrain,0.220,3301.218,5.804,1007,0.637
LearningBrain,0.220,3307.917,5.830,1005,0.638
LearningBrain,0.223,3314.687,5.890,1010,0.638
LearningBrain,0.227,3321.383,5.823,1008,0.639
LearningBrain,0.227,3328.032,5.778,1005,0.640
LearningBrain,0.230,3334.775,5.863,1006,0.640
LearningBrain,0.227,3341.560,5.902,1022,0.641
LearningBrain,0.229,3348.308,5.866,1017,0.641
LearningBrain,0.234,3355.001,5.812,1011,0.642
LearningBrain,0.231,3361.686,5.808,1010,0.642
LearningBrain,0.227,3368.435,5.872,1009,0.643
LearningBrain,0.229,3375.186,5.872,1001,0.644
LearningBrain,0.228,3381.908,5.844,1007,0.644
LearningBrain,0.229,3388.599,5.814,1012,0.645
LearningBrain,0.225,3395.304,5.832,1008,0.645
LearningBrain,0.225,3401.982,5.809,1001,0.646
LearningBrain,0.230,3408.645,5.793,1007,0.647
LearningBrain,0.229,3415.366,5.844,1016,0.647
LearningBrain,0.226,3422.074,5.836,1009,0.648
LearningBrain,0.225,3428.851,5.901,1008,0.648
LearningBrain,0.229,3435.592,5.861,1019,0.649
LearningBrain,0.229,3442.310,5.842,1005,0.649
LearningBrain,0.227,3449.000,5.818,1012,0.650
LearningBrain,0.230,3455.815,5.816,1012,0.651
LearningBrain,0.224,3462.610,5.911,1017,0.651
LearningBrain,0.227,3469.259,5.779,1001,0.651
